f0,df,noise,gain_c,SI_med,int_err,score
3.0,0.008,0.03,0.08,0.588580122702202,14.96208809902589,-0.38099562315541036
3.1415,0.008,0.02,0.08,0.5884519147681224,14.98905756255333,-0.38171469030789507
3.1415,0.008,0.03,0.1,0.5893666245908098,15.051167940845577,-0.3821569409491766
3.0,0.008,0.02,0.08,0.5878468915133879,14.9833617233317,-0.38219500959632446
3.3,0.008,0.01,0.08,0.5882388404066179,15.004596793513311,-0.38226775279349023
3.0,0.008,0.01,0.08,0.5877267235647976,14.985419301767305,-0.3823602310271159
3.1415,0.008,0.01,0.08,0.5876230178540471,14.982242556770348,-0.38239437514418384
3.3,0.008,0.02,0.08,0.5877400043399754,14.987764491199227,-0.38239829429749583
3.0,0.005,0.03,0.08,0.5893723755370461,15.066212173307093,-0.3824790798699168
3.0,0.008,0.01,0.1,0.5886637518005825,15.043466179044131,-0.38269183446460187
3.1415,0.005,0.03,0.08,0.5890429770944063,15.061520398730519,-0.3827062537867647
3.0,0.005,0.02,0.08,0.5879139600324992,15.020676047608276,-0.38294408930876633
3.1415,0.008,0.02,0.1,0.5884314749496335,15.045353941731918,-0.38296529182259353
2.8,0.008,0.02,0.08,0.5880026353439478,15.029106575926717,-0.383039545354099
3.1415,0.008,0.03,0.08,0.5879686385757676,15.030878768742024,-0.38311223630627966
3.0,0.008,0.03,0.1,0.5883549537573353,15.058892031574945,-0.3833369971304048
2.8,0.005,0.03,0.08,0.5888147889050946,15.080558621019948,-0.38334906223610743
3.1415,0.008,0.01,0.1,0.5878411708896469,15.038056697003995,-0.383396383651214
3.3,0.005,0.03,0.08,0.5884151151451165,15.065103711625227,-0.3834121917588599
3.1415,0.005,0.01,0.1,0.5887222997834352,15.0815641780859,-0.3834634370383482
3.0,0.005,0.01,0.08,0.5873674140836556,15.020101968885827,-0.38347809326797566
3.0,0.003,0.01,0.08,0.5878266411075322,15.04829860034426,-0.383634352104229
3.1415,0.008,0.01,0.12,0.5888638786454908,15.102538999029406,-0.3837780578304615
3.3,0.008,0.02,0.1,0.5882446384348234,15.078670787102318,-0.38387812080933437
3.3,0.003,0.03,0.08,0.587960374494123,15.067157474211344,-0.38391167354412725
3.0,0.008,0.02,0.1,0.5878047010993183,15.06133849653644,-0.3839405658900874
3.0,0.008,0.01,0.12,0.5889188205300858,15.119409718534417,-0.3840896209278013
3.1415,0.008,0.02,0.12,0.5887257777180307,15.111352241561582,-0.3841076683734589
3.1415,0.005,0.01,0.08,0.5867648708288362,15.022360812343061,-0.38412998324228653
2.8,0.005,0.02,0.08,0.5876147689160531,15.061634701414041,-0.3841369527502919
3.3,0.008,0.03,0.1,0.5880196658151498,15.081619094105761,-0.384167266199708
3.0,0.008,0.03,0.12,0.5889065038080943,15.12263564432125,-0.384171975019721
3.0,0.003,0.03,0.08,0.5876141202966922,15.06465057842072,-0.3842033143486818
3.0,0.005,0.02,0.1,0.5885118082795147,15.106348381129905,-0.3842129180007332
3.1415,0.005,0.03,0.1,0.5881671210757677,15.091063383838142,-0.38422529591868704
3.0,0.003,0.02,0.08,0.5870803320258982,15.04119716511401,-0.38422575053289854
3.0,0.005,0.01,0.1,0.5883404096322868,15.101564304680728,-0.3842803405358882
2.8,0.008,0.03,0.08,0.5866637082363231,15.033452970754414,-0.3844733643368903
3.3,0.005,0.02,0.08,0.5871040366555283,15.053714369851189,-0.3844750500444617
3.3,0.005,0.01,0.08,0.5867903169626554,15.043659064131266,-0.38456947720710044
